text,total
căn_bản,334
dữ_liệu,53049
môi_trường,8273
mô_hình,8132
kế_thừa,2717
cơ_sở,8634
xử_lý_sự_kiện,284
bất_đồng_bộ,1303
khái_niệm,5444
hệ_thống,20152
cơ_chế,2984
xác_thực,4163
chi_tiết,6529
báo_cáo,2737
quản_lý,11697
đa_phần,277
đúc_kết,127
nhỏ_xíu,14
trường_học,73
công_ty,4353
đam_mê,299
mở_đầu,1207
đăng_nhập,4401
tài_khoản,4314
xã_hội,885
tiện_lợi,855
giới_thiệu,11117
run_cấu_hình,3
tài_liệu,8250
lời_giải,205
ước_số,11
định_lý,55
thặng_dư,2
bất_hợp_lệ,2
số_dư,144
đề_bài,136
ước_tính,615
nhảy_xa,2
trung_bình,1086
mau_chóng,7
ngược_lại,2557
đáp_án,482
thuật_toán,4123
tối_ưu,2879
tiêu_chuẩn,1860
toạ_độ,284
tồn_tại,4279
lần_lượt,1325
nguyên_tố,67
số_nguyên_tố,101
chính_xác,6592
công_thức,968
hù_doạ,1
phép_tính,269
u_w,2
lằng_nhằng,160
chứng_minh,752
quy_nạp,2
u_u_u_u,2
thay_thế,4337
nghĩa_là,1999
chính_phương,1
đa_luồng,271
kinh_khủng,70
con_số,1026
thoả_mãn,270
tiềm_năng,537
bình_thường,2739
thắc_mắc,977
song_song,1221
ngoài_lề,61
lý_thuyết,958
bội_số,43
vô_cực,13
ước_lượng,373
chữ_ký,633
mạo_danh,53
chủ_nhân,34
giới_hạn,3168
tương_tự_do,7
phân_số,36
tính_toán,3820
thành_phần,8472
vk_vậy,1
đồng_nghĩa,585
đại_số,83
tuyến_tính,414
quảng_cáo,1280
tin_vui,27
thủ_tục,708
định_nghĩa,11268
đối_mặt,523
rối_rắm,113
ký_tự,4294
đan_xen,20
cực_kỳ,858
biểu_thức,2201
chính_quy,370
khuôn_mẫu,196
ngôn_ngữ,10641
bao_bọc,207
xung_quanh,981
cú_pháp,5156
linh_hoạt,2035
đi_nữa,169
đầu_bài,243
sức_mạnh,704
tưởng_tượng,1396
địa_chỉ,4150
thấu_đáo,12
tùy_chỉnh,2210
phân_biệt,1478
ngoặc_vuông,168
chữ_cái,805
ý_nghĩa,2323
rút_gọn,385
ranh_giới,243
ngoại_trừ,618
ký_hiệu,521
định_lượng,132
kết_thúc,3739
ghi_nhớ,586
tham_chiếu,3188
luyện_tập,167
chữ_số,519
phân_tích,6460
định_dạng,3313
gạch_nối_kết_thúc,1
tùy_chọn,2918
dấu_chấm,301
đôi_khi,2886
thực_hành,1347
cám_ơn,594
làm_quen,960
giải_thuật,529
chặt_chẽ,619
thực_chất,635
bài_toán,4063
kích_thước,4884
để_trị,62
dạy_dỗ,9
vận_dụng,222
cụ_thể_hoá,10
sắp_xếp,3238
phần_tử,9897
phụ_trợ,145
chỉ_số,877
nhiệm_vụ,3642
tổng_số,644
minh_hoạ,170
a_ô,1
thứ_tự,1335
lặp_for,250
bình_luận,590
phân_cấp,597
tái_cấu_trúc,282
tối_thiểu,866
truyền_thống,1242
kế_hoạch,3540
trái_ngược,197
triển_khai,4897
lập_trình_viên,3818
mô_hình_hoá,40
biên_dịch,2357
đáp_ứng,2622
nhanh_chóng,3175
lưu_trữ,10544
thể_hiện_hành_vi,7
bộ_hành_vi,3
thông_thường,4679
bao_gồm,9952
trái_lại,32
đại_diện,2039
khác_biệt,3618
hiểu_biết,1156
mới_mẻ,301
đặc_trưng,1177
uyển_chuyển,25
ngẫu_nhiên,1229
điều_chỉnh,1544
tham_số,9189
đầu_vào,4368
ý_định,372
văng_vẳng,4
giải_pháp,4696
người_yêu,140
tên_tuổi,59
quê_quán,7
số_đo,10
tự_dưng,52
so_sánh,4804
chậm_chạp,111
số_lượng,5898
chuyên_biệt,122
mục_lục,112
chủ_đề_bài,13
không_gian,1391
nhà_hàng,184
đa_giác,114
bản_đồ,512
điển_hình,747
đường_phố,31
tổ_chức,3657
con_trỏ,1104
toán_tử,2868
vô_dụng,99
tối_ưu_hóa,1485
cân_nhắc,829
tuyệt_đối,455
thỏa_mãn,882
tăng_tốc,433
đối_ứng,101
có_mặt,292
bừa_bãi,36
lộn_xộn,224
mệnh_đề,760
diễn_biến,26
kí_tự,1887
trùng_lặp,580
giới_tính,110
tác_dụng,1107
cẩn_thận,1055
bó_tay,29
thông_minh,1432
đề_cập,3242
hết_sức,473
tổng_kết,1857
khách_hàng,6552
nâng_cấp,1043
bổ_ích,187
giao_thức,2271
wide_web,60
phát_minh,127
phát_hành,1995
sửa_đổi,2006
di_động,3447
đồ_họa,457
máy_chủ,5683
trang_web,9080
bối_cảnh,571
sáng_suốt,47
ngữ_cảnh_hóa,2
xem_xét,3544
lịch_sử,1151
hoạt_động_cơ_bản,65
máy_khách,633
cục_bộ,827
văn_bản,3474
tài_nguyên,4025
truy_cập,13451
trình_duyệt,7651
liệt_kê,1888
thảo_luận,1430
trừu_tượng,864
tổng_quan,1391
chủ_yếu,1630
ưu_tiên,2724
lực_lượng,29
đặc_nhiệm,1
đỉnh_điểm,23
xuất_bản,328
nỗ_lực,753
tiêu_chuẩn_hóa,44
tỷ_lệ,1002
chấp_nhận,2764
đóng_gói,1209
nhị_phân,640
duy_trì,1591
ngữ_nghĩa,291
tiêu_đề,1564
chuyển_đổi,3724
bình_thường_khi,96
tương_tác,4536
phân_phối,1352
tương_phản,141
gốc_rễ,100
quen_thuộc,1441
thuần_túy,147
mã_hóa,3464
ngắn_gọn,1879
nảy_sinh,119
ưu_điểm,2201
đầy_đủ,3715
liên_kết,4520
kết_nối,7634
tốn_kém,381
liên_tục,2552
giả_định,562
trạng_thái,7129
phản_hồi,3108
hiệu_suất,3957
tự_nhiên,890
chiến_lược,1309
tình_huống,1833
đầu_hàng,11
truy_xuất,1498
riêng_biệt,1930
tâm_trí,136
khắc_phục,1393
lợi_thế,751
cấp_độ,955
nhận_dạng,790
xen_kẽ,67
lắp_ráp,59
kiểm_soát,2795
bộ_nhớ,5881
dấu_vết,64
băng_thông,364
vận_hành,865
bắt_tay,745
liên_lạc,581
thông_số,1447
nhị_phân_giải_quyết,1
cạnh_tranh,466
cho_cùng,229
trọng_lượng,114
tận_dụng,1319
định_danh,931
minh_họa,961
phân_bổ,475
yếu_tố,2692
xuất_phát,283
nhu_cầu,2236
hình_ảnh,6111
phân_giải,719
phương_tiện,467
phân_công,80
cung_cấp_tính,47
đồng_đều,67
đối_phó,256
lấn_át,9
điều_khiển,2650
tức_là,2678
khả_dụng,656
tín_hiệu,590
xác_nhận,2802
xóa_bộ,9
tiếp_tục_truyền,13
truyền_tải,503
riêng_lẻ,621
quy_mô,749
trung_gian,883
dòng_chảy,81
nguồn_lực,357
trì_hoãn,295
dự_đoán,1691
thúc_đẩy,444
khả_thi,465
giảm_tốc_độ,49
vô_hiệu_hóa,307
tách_biệt,671
từ_chối,604
tách_biệt_tài_nguyên,1
nhấn_mạnh,331
luôn_hủy,4
nhầm_lẫn,812
sự_cố,1101
thông_điệp,718
thắt_cổ,34
biến_thể,496
thử_nghiệm,10590
nghiên_cứu,1871
toàn_diện,397
thủ_công,1783
thi_hành,130
hoàn_thành_phần,30
tổ_hợp,483
xóa_container,24
lắng_nghe,1566
thuật_ngữ,1270
xa_lạ,406
xu_thế,114
lĩnh_vực,1918
hứng_thú,325
cải_tiến,1332
tuyệt_vời,2993
đồng_bộ,1972
huẩn_hóa,2
quy_ước,460
trụ_cột,41
biến_đổi,917
hữu_dụng,755
bất_ký,19
loại_bỏ,2989
lập_tức,1766
chấm_dứt,148
may_mắn,626
đa_dạng,594
nãy_giờ,67
chuyên_sâu,256
khuyến_cáo,141
xếp_hàng,104
tương_đối_dài,17
hình_dung,985
màu_sắc,1089
hình_học,100
đường_thẳng,221
chữ_nhật,338
bầu_dục,18
đường_dẫn,3529
hình_dạng,448
phông_chữ,344
tọa_độ,680
màn_hình_như,102
cơ_bản_vẽ,2
vòng_tròn,243
hình_tròn,273
bán_kính,126
tỉ_lệ,725
trái_xoan,1
kim_đồng_hồ,44
sử_dụng_tâm,2
vẽ_vời,13
linh_động,261
định_vị,470
kích_cỡ,438
khu_vực,984
nho_nhỏ,394
kiểm_thử,22744
thiết_bị,8982
thách_thức,924
phạm_vi,3302
con_lăn,3
trung_tâm,706
kết_nối_mạng,303
khía_cạnh,903
đặc_điểm,1668
tương_thích,1583
cản_trở,127
giao_diện,7559
cài_đặt_điều,10
nhất_quán,901
dịch_vụ,5488
tệp_tin,332
hiệu_năng,2262
tiêu_thụ,417
điện_thoại_di_động,395
phục_hồi,524
mất_mát,227
xác_minh,2140
gián_đoạn,420
lí_do,600
thị_trường,1211
rộng_rãi,873
hầu_như,729
nhân_tố,106
giai_đoạn,3849
sản_xuất,962
lập_trình_duyệt,5
miễn_phí,1720
tùy_biến,222
danh_mục,426
đa_hệ_thống,3
điện_toán,299
truy_nhập,112
bảo_trì,1461
sẵn_sàng,1855
an_ninh,338
kịch_bản,2778
tiêu_hao,35
bố_cục,809
biến_dạng,57
xác_suất,896
điện_thoại,2351
hiển_thị_chính_xác,67
tràn_ngập,33
nâng_cấp_thiết_bị,4
hỗ_trợ_cấp,2
danh_bạ,112
góc_độ,224
cửa_hàng,552
phong_cách,521
hậu_trường,25
tăng_giá_trị,123
tư_cách,240
có_lý_do,185
tuyên_bố,188
hợp_lệ,2238
ngoại_lệ,1304
ghi_nhận,219
tác_động,1221
trích_dẫn,197
trò_chuyện,323
đồng_bộ_hóa,331
sửa_chữa,470
lưu_giữ,403
ngân_hàng,1064
văn_phòng,177
máy_ảnh,224
địa_điểm,441
đúng_đắn,446
tiêu_chí,1168
độc_giả,59
chính_sách,440
phục_vụ,1820
khách_quan,170
tham_gia,2390
chế_độ,2700
công_nhận,181
cách_thức,1824
thái_độ,208
nghiêm_túc,167
cảnh_báo,882
súc_tích,110
trơn_tru,291
mất_mạng,30
cuộc_gọi,819
nhắn_tin,195
đột_ngột,131
bán_lẻ,109
điện_tử,1065
quá_tải,257
phản_ứng,554
tương_thích_ứng_dụng,11
đa_ngôn_ngữ,177
múi_giờ,185
lưu_thông_tin,224
thanh_toán,1776
tín_dụng,302
quyền_hạn,134
an_toàn,2459
chứng_nhận,229
bản_quyền,214
tối_đa_số,8
thất_bại,1526
biểu_tượng,825
khiếm_thị,26
di_chắc,1
di_mạnh_mẽ,1
bàn_cãi,47
quy_tắc,2459
bảo_toàn,111
giúp_đỡ,571
biểu_đồ,1836
bảng_số_liệu,4
doanh_số,95
lợi_nhuận,314
xu_hướng,1361
doanh_thu,250
biểu_diễn,1591
ngành_hàng,8
đẹp_mắt,210
tinh_chỉnh,223
quá_trình_tự,19
giải_đáp,202
mở_màn_hình,45
lưu_hành,8
nội_bộ,832
tiêu_biểu,181
toàn_vẹn,462
tối_đa,1746
tên_miền,786
xử_lí,1559
thu_thập,1789
tập_hợp,2294
trọng_tâm,289
kích_hoạt,2065
lặp_đệ,8
năng_lực,438
xóa_bỏ,306
có_nghĩa,613
dư_thừa,364
lãng_phí,489
thừa_thãi,104
liên_tiếp,340
có_thể_hình_dung,237
ngăn_chặn,1089
có_ích,785
lo_lắng,779
mong_đợi,1591
tóm_lại,105
nguy_cơ,509
đo_lường,572
tự_quản_lí,14
tóm_tắt,929
tranh_luận,167
cộng_đồng,1506
sắc_thái,53
vô_tình,344
phối_hợp,260
mặt_khác,510
chào_mừng,193
mới_đầu,55
sản_phẩm,9204
nôm_na,467
tấn_công,3599
tùy_ý,542
khả_nghi,11
hàm_chứa,36
đối_chiếu,140
ngăn_cách,140
dấu_chấm_phẩy,145
đi_sâu,812
hình_dáng,47
cấp_bậc,65
ít_ỏi,40
ngoặc_kép,124
đảo_ngược,380
cha_vậy,4
kí_tự_sát,1
bạn_đọc,659
khởi_đầu,307
trở_đi,138
trùng_lặp_hooks,1
sơ_bộ,127
cuộc_sống,734
chu_kì,75
mở_mắt,9
tổng_quát,506
anh_em,1127
người_ta,1430
vô_hạn,282
linh_tinh,90
thể_thao_tác,239
sự_kiện,4747
quá_trình_diễn,16
hứng_khởi,12
container_hóa,16
khối_lượng,660
bản_sao,802
áp_lực,261
nhàn_rỗi,19
thiết_yếu,210
giá_trị_số_nguyên,25
cao_giá_trị,16
vật_lý,617
kết_gắn,1
đối_số,2305
phân_đoạn,306
làm_tròn,157
sao_chép,1090
sở_hữu,1323
phá_hủy,125
bảo_đảm,194
ngăn_cản,113
bảo_vệ,1461
phân_tán,847
đường_ống,88
truyền_thông_tin,77
đăng_ký,3524
diễn_đàn,196
có_thể_xác_thực,51
cần_thiết_lập,222
đảm_nhận,242
cấu_hình_như,138
hộp_thư,91
chuyển_hướng,665
di_chuyển,2610
hành_động,3548
phân_quyền,523
xong_xuôi,101
hay_ho,702
tinh_gọn,35
gọn_gàng,453
kinh_điển,147
sủ_dụng,54
mệnh_lệnh,63
khoa_học,644
quy_trình,3914
hình_ảnh_hóa,5
sinh_vật,26
tò_mò,263
quan_hệ,3409
đóng_khung,19
có_học,28
mái_tóc,7
dấu_hiệu,343
chiêm_tinh,1
bài_học,381
ngữ_cảnh,1048
việc_làm,671
chuyên_môn,374
chuyên_gia,735
thăm_dò,288
kỹ_thuật_số,334
mô_hình_hóa,304
trình_bày,2256
trình_tự,353
nguyên_tắc,2023
nhân_bản,106
khôi_phục,643
công_cộng,205
tập_tin,1731
soạn_thảo,494
thứ_tư,35
sinh_thái,315
giao_dịch,3641
tiền_tệ,264
đồng_thuận,7
bằng_chứng,222
tin_cậy,1338
đại_biểu,35
tổng_hợp_thành,10
toàn_cầu,412
không_thể_xác_thực,7
triết_lý,92
tiên_phong,46
bật_tắt,7
tuân_thủ,864
phương_pháp_luận,83
phân_cấp_tiến_bộ,1
căng_thẳng,208
đa_phương_tiện,150
nòng_cốt,20
hiệu_chỉnh,50
cốt_lõi,724
bày_tỏ,37
hoàn_tất,914
đóng_góp,813
xương_sống,41
ghi_chú,471
luân_phiên,27
ứng_viên,278
sàng_lọc,58
trực_tuyến,825
định_tuyến,552
khuyến_nghị,225
phác_thảo,157
thời_lượng,199
hy_vọng,2332
lặp_đi,760
đảm_bảo_an_toàn,142
mạng_lưới,501
cô_lập,247
phần_trăm,379
xâm_nhập,293
độc_đáo,239
thích_ứng,255
bỏ_phiếu,73
sống_động,67
đổi_mới,139
tích_cực,655
thực_từ,16
gỡ_lỗi,383
cạn_kiệt,35
lưu_lượng,551
phần_thưởng,133
phù_hợp_nhất,351
thu_dọn,42
đăng_kí,1020
toàn_cục,556
chờ_đợi,606
crud_vậy,1
phiên_bản_gốc,11
xóa_bản,44
thiếu_sót,433
thông_cảm,125
chính_thức,1087
chút_ít,62
mượt_mà,229
dự_định,374
thích_thú,119
đồ_chơi,55
họ_hàng,30
kha_khá,227
mồi_chài,4
thanh_thoát,4
thực_thể,860
xâu_chuỗi,71
đồ_thị,609
chu_kỳ,641
phần_phụ,10
sơ_đồ,981
cẩm_thạch,4
trực_quan,1196
mũi_tên,426
biểu_thị,590
giảm_giá_trị,53
kiến_trúc,2772
chu_trình,215
dây_chuyền,38
dọn_dẹp,292
số_nguyên,647
suôn_sẻ,108
thành_công_lệnh,5
chuyển_tiếp,420
minh_bạch,372
thuận_tiện,916
vi_phạm,452
ưa_chuộng,129
bản_chất,1041
thừa_kế,301
xáo_trộn,106
chịu_tải,214
hạ_tầng,625
biến_động,74
hiện_đại,809
chiến_đấu,48
từ_khoá,723
ngày_nay,979
bầu_trời,30
xanh_lam,42
báo_động,22
hành_trình,224
chuyển_giao_kết_nối,1
diễn_giải,158
cấp_phát,421
kỳ_thị,3
truyền_cảm_hứng,65
đào_sâu,178
nghỉ_phép,95
miễn_là,381
phê_duyệt,266
nhân_sự,210
có_thể_tích_hợp,168
nhân_viên,1325
kiểm_duyệt,75
quá_khứ,304
vô_lý,39
phòng_ban,63
xin_lỗi,85
cấu_thành,127
bố_trí,241
điền_nhập,1
nhập_trường,8
hộp_thoại,324
chứa_đựng,119
biểu_mẫu,509
hồ_sơ,479
button_hủy,3
xác_nhận_hủy,3
xóa_nút,9
hủy_ta,1
mục_propertiesconfiguration,2
mục_properties,1
xóa_luồng,1
phê_duyệt_hủy_đơn,1
dĩ_nhiên,432
nổi_cộm,9
ấn_tượng,431
khởi_điểm,28
quả_nhiên,8
phiền_toái,73
tổng_quan_hệ_thống,16
nước_ngoài,177
học_phần,28
dự_phòng,303
code_hóa,2
giúp_ích,1352
không_lưu_trữ,79
định_nghĩa_là,319
tản_mạn,34
mạn_phép,57
phục_vụ_việc,87
đặc_tính,533
báo_thức,44
cấu_tạo,144
https_hóa,1
nhận_định,128
chỉ_tiêu,28
cân_nhắc_sao,2
thành_công_bằng,27
hấp_dẫn,449
đơn_thuần,445
chiến_dịch,162
tiếp_thị,201
kích_thích,77
kỷ_nguyên,58
thống_kê,1165
thuyết_trình,101
thuyết_phục,235
tâm_lý,140
bẩm_sinh,19
thị_giác,139
thu_hút,372
bắt_mắt,120
âm_thanh,887
cuốn_hút,13
dẫn_dắt,117
hội_thoại,212
bong_bóng,75
ghi_âm,150
tin_tức,250
điều_hoà,8
tắt_tv,4
ô_tô,187
dây_cáp,10
an_tâm,50
riêng_tư,413
trang_bị,223
xứng_đáng,96
lãnh_đạo,475
tài_chính,562
tài_sản,425
chăm_sóc,211
phát_huy,146
động_lực,413
tinh_thần_đồng_đội,28
trò_chơi,1326
đoàn_kết,17
đường_lối,5
dài_hạn,179
sâu_sắc,241
tôn_chỉ,10
tính_chất,1077
cam_kết,392
cống_hiến,41
đồng_nghiệp,546
sáng_tạo,634
tự_do,448
hợp_tác,473
gắn_kết,176
chiều_hướng,25
ngày_một,143
giao_lưu_không,1
trang_trọng,11
ý_kiến_thiết_yếu,1
tuyển_dụng,531
giảm_thiểu,1206
bộ_máy,76
tăng_sản_lượng,3
công_nhân_viên,3
ý_thức,139
đồng_đội,74
giao_phó,20
bóc_lột,6
lao_động,123
quá_sức,26
phẫn_nộ,9
tổn_hại,56
kịp_thời,198
ngăn_ngừa,156
chia_rẽ,8
hòa_hợp,17
can_thiệp,321
leo_thang,39
tiêu_cực,314
doanh_nghiệp,1702
cư_xử,24
nổi_tiếng_rằng,1
dẫn_đầu,74
làm_gương,11
tụ_tập,6
thử_thách,366
kỹ_năng,2383
trí_tuệ,298
khoảnh_khắc,58
nhàm_chán,370
đánh_máy,29
giải_thưởng,55
vượt_trội,274
tiến_bộ,235
cực_kỳ_quan_trọng,153
thân_thiện,690
không_khí,109
thể_chất,15
tập_thể_dục,31
tinh_thần,285
trí_lực,3
sức_khỏe,228
thói_quen,555
vận_động,40
bài_tập,349
thể_dục,8
nhịp_điệu,10
nhẹ_nhàng,228
thơ_ấu,5
thư_giãn,14
vô_số,212
tinh_tế,102
chuyên_nghiệp,710
khởi_nguồn,23
hoàn_cảnh,251
c_vậy,4
văn_hóa,225
giáo_dục,221
đại_học,414
sinh_viên,649
sâu_rộng,50
nổi_bật,892
tài_trợ,90
khổng_lồ,436
đầu_tư,777
xuất_sắc,146
đào_tạo,836
tài_năng,91
tóm_lược,120
thay_thế_là,21
rủi_ro,3375
tư_duy,705
áo_mưa,3
trượt_tuyết,11
cồng_kềnh,204
hiển_nhiên,313
giám_đốc,106
e_ngại,19
cảnh_giác,27
gia_nhập,37
trực_diện,16
ngu_ngốc,35
chỉnh_lý,7
tiếp_nối,36
giả_vờ,36
từ_bỏ,123
màu_nhiệm,1
khắc_ghi,4
hội_nghị,75
thời_buổi,28
tham_dự,127
khẩu_trang,6
gồng_gánh,2
một_mình,186
ngắn_ngủn,2
the_flash,1
kiên_định,18
kiên_trì,90
tận_hưởng,148
nhỏ_nhặt,45
có_ăn_học_hỏi,1
sức_khoẻ,74
cả_thể_chất,1
gia_đình,213
ngập_chìm,2
phân_loại,1637
hoàn_thành_công_việc,245
thời_hạn,326
công_sức,651
lan_man,116
làm_chủ_động,1
định_kỳ,267
sức_lực,15
mò_mẫm,53
hăng_say,12
hàng_đầu,609
ma_trận,1063
cấp_thiết,18
khẩn_cấp,104
bàn_giao,347
nhắc_nhở,214
trí_nhớ,29
thời_gian_biểu,17
chủ_động,363
làm_bạn,220
tiến_độ,763
phương_hướng,47
tái_tạo,178
năng_lượng,312
suy_ngẫm,27
định_hình,116
bí_quyết,56
ngày_mai,71
vụn_vặt,10
ngớ_ngẩn,64
quản_trị,1130
hành_chính,15
chỉnh_sửa_đổi,4
địa_giới,2
ban_hành,24
chính_phủ,181
khái_quát,282
đặc_thù,249
bạn_bè,375
vui_chơi,28
giải_trí,127
hạnh_phúc,142
cuộc_đời,137
thực_thụ,70
nhận_diện,690
trang_điểm,15
nhập_môn,58
thích_nghi,214
ràng_buộc,1465
song_phương,4
đề_tài,52
sơ_khai,93
làm_đẹp,67
có_mặt_mũi,1
đồng_thời_cơ_chế,1
tân_binh,4
thỏa_đam_mê,2
cân_nhắc_vậy,1
vòng_lặp,237
ve_been,6
diễn_đạt,137
đối_xứng,324
công_khai,645
toán_học,421
giải_mã,800
bí_mật,509
tiết_lộ,182
vận_chuyển,226
tổng_quát_hóa,46
mật_mã,249
tiến_hành_xác_nhận,3
chứng_thực,296
giả_mạo,411
tư_liệu,49
chí_ít,29
hư_hỏng,23
di_sản,29
hệ_quả,81
hằng_số_ít,1
chúc_mừng,182
giúp_việc,365
điều_phối,236
bảo_mật_thiết_kế,3
đội_ngũ,414
tạo_dựng,69
nhân_lực,265
quay_vòng,28
khái_niệm_hóa,12
vắng_mặt,62
phân_tách,631
trừu_tượng_hóa,140
kỹ_lưỡng,346
một_số_ít,64
dự_kiến,477
đột_biến,120
số_nhân,79
hữu_hạn,99
thuế_nội_bộ,2
tăng_trưởng,292
ngụp_lặn,4
công_dụng,277
kinh_dị,20
lâu_dài,315
ác_mộng,110
hợp_nhất,315
biểu_hiện,140
nhạy_cảm,619
uỷ_quyền,37
nguy_hiểm_github,1
con_cả,5
xếp_hạng,453
hạn_ngạch,17
cảm_giác,680
che_khuất,45
thành_công_chúng_ta,95
mày_mò,98
sách_vở,22
bà_con,14
hú_họa,2
bắt_nguồn,182
chính_danh_sách,3
đại_khái,134
nghiệp_vụ,1209
nói_chuyện,533
tập_đoàn,97
học_sinh,329
chấp_thuận,139
quy_định,1026
tiền_bối,45
quản_lý_tài_liệu,13
tổ_chức_quyền,1
ngành_nghề,79
chăm_chăm,28
code_bằng,4
dạo_đầu,18
học_hỏi,681
mang_tiếng,11
xử_lí_thú_vị,1
ôn_tập,43
phép_toán,501
bỏ_túi,14
bất_tiện,181
vô_tận,103
nhâm_nhi,10
phức_tạp_vậy,14
